seed,func,d,min
722,Rastrigin,10,4.133706533109471e+01
694,Levy,20,8.594679064969691e+00
722,Griewank,20,1.903737721553250e+00
722,Rastrigin,20,8.741424565845445e+01
722,Sphere,10,6.350680503571859e-05
722,Rotated Hyper-Ellipsoid,10,1.097180954958773e-03
722,Sphere,20,2.632326903098388e-01
722,Dixon-Price,10,2.499055247158792e-06
722,Sum Squares,10,4.652538695021391e-04
722,Dixon-Price,20,2.950368807572434e+01
722,Trid,10,-2.099999819370842e+02
722,Sum Squares,20,4.656104945650059e+01
722,Rotated Hyper-Ellipsoid,20,1.977194833209330e+03
722,Trid,20,-1.362206367178253e+03
722,Rosenbrock,10,8.350712317850506e-03
722,Rosenbrock,20,3.315655879921630e+01
750,Ackley,10,5.210759310479986e+00
750,Griewank,10,1.000059232142160e+00
722,Levy,10,4.164188609985743e-01
750,Ackley,20,4.500223984741492e+00
750,Rastrigin,10,9.025405341183216e+00
722,Levy,20,1.654426558164191e+01
750,Griewank,20,1.161745809737945e+00
750,Sphere,10,1.725261186031057e-05
750,Rastrigin,20,1.300914516598095e+02
750,Rotated Hyper-Ellipsoid,10,3.588456429444644e-05
750,Dixon-Price,10,5.000388116321764e-01
750,Sphere,20,4.711188171993747e-02
750,Sum Squares,10,1.435707584907959e-05
750,Dixon-Price,20,3.926645583877793e+01
750,Trid,10,-2.099999703800277e+02
750,Sum Squares,20,8.151226753170722e+00
750,Rotated Hyper-Ellipsoid,20,5.312977901753312e+00
750,Trid,20,-1.514014117631406e+03
750,Rosenbrock,10,2.031195695614425e-02
750,Rosenbrock,20,6.678638767807378e+01
750,Levy,10,1.002135013337133e+00
750,Levy,20,8.580139674176870e+00
