seed,func,d,min
25313,Rotated Hyper-Ellipsoid,10,0.00E+00
37573,Rotated Hyper-Ellipsoid,10,0.00E+00
52211,Rotated Hyper-Ellipsoid,10,0.00E+00
69250,Rotated Hyper-Ellipsoid,10,0.00E+00
88866,Rotated Hyper-Ellipsoid,10,0.00E+00
111075,Rotated Hyper-Ellipsoid,10,0.00E+00
135748,Rotated Hyper-Ellipsoid,10,0.00E+00
162835,Rotated Hyper-Ellipsoid,10,0.00E+00
192338,Rotated Hyper-Ellipsoid,10,0.00E+00
224320,Rotated Hyper-Ellipsoid,10,0.00E+00
258698,Rotated Hyper-Ellipsoid,10,0.00E+00
295490,Rotated Hyper-Ellipsoid,10,0.00E+00
334663,Rotated Hyper-Ellipsoid,10,0.00E+00
376271,Rotated Hyper-Ellipsoid,10,0.00E+00
420279,Rotated Hyper-Ellipsoid,10,0.00E+00
466706,Rotated Hyper-Ellipsoid,10,0.00E+00
515583,Rotated Hyper-Ellipsoid,10,0.00E+00
566913,Rotated Hyper-Ellipsoid,10,0.00E+00
620838,Rotated Hyper-Ellipsoid,10,0.00E+00
677318,Rotated Hyper-Ellipsoid,10,0.00E+00
736263,Rotated Hyper-Ellipsoid,10,0.00E+00
797723,Rotated Hyper-Ellipsoid,10,0.00E+00
861591,Rotated Hyper-Ellipsoid,10,0.00E+00
927870,Rotated Hyper-Ellipsoid,10,0.00E+00
996556,Rotated Hyper-Ellipsoid,10,0.00E+00
1067642,Rotated Hyper-Ellipsoid,10,0.00E+00
76,Rotated Hyper-Ellipsoid,20,0.00E+00
2815,Rotated Hyper-Ellipsoid,20,0.00E+00
7933,Rotated Hyper-Ellipsoid,20,0.00E+00
15435,Rotated Hyper-Ellipsoid,20,0.00E+00
25313,Rotated Hyper-Ellipsoid,20,0.00E+00
37573,Rotated Hyper-Ellipsoid,20,0.00E+00
52211,Rotated Hyper-Ellipsoid,20,0.00E+00
69250,Rotated Hyper-Ellipsoid,20,0.00E+00
88866,Rotated Hyper-Ellipsoid,20,0.00E+00
111075,Rotated Hyper-Ellipsoid,20,0.00E+00
135748,Rotated Hyper-Ellipsoid,20,0.00E+00
162835,Rotated Hyper-Ellipsoid,20,0.00E+00
192338,Rotated Hyper-Ellipsoid,20,0.00E+00
224320,Rotated Hyper-Ellipsoid,20,0.00E+00
258698,Rotated Hyper-Ellipsoid,20,0.00E+00
295490,Rotated Hyper-Ellipsoid,20,0.00E+00
334663,Rotated Hyper-Ellipsoid,20,0.00E+00
376271,Rotated Hyper-Ellipsoid,20,0.00E+00
420279,Rotated Hyper-Ellipsoid,20,0.00E+00
466706,Rotated Hyper-Ellipsoid,20,0.00E+00
515583,Rotated Hyper-Ellipsoid,20,0.00E+00
566913,Rotated Hyper-Ellipsoid,20,0.00E+00
620838,Rotated Hyper-Ellipsoid,20,0.00E+00
677318,Rotated Hyper-Ellipsoid,20,0.00E+00
736263,Rotated Hyper-Ellipsoid,20,0.00E+00
797723,Rotated Hyper-Ellipsoid,20,0.00E+00
861591,Rotated Hyper-Ellipsoid,20,0.00E+00
927870,Rotated Hyper-Ellipsoid,20,0.00E+00
996556,Rotated Hyper-Ellipsoid,20,0.00E+00
1067642,Rotated Hyper-Ellipsoid,20,0.00E+00
